"","group_var","outcome","neonatalYes","ci_l.neonatalYes","ci_u.neonatalYes","infantYes","ci_l.infantYes","ci_u.infantYes","under5Yes","ci_l.under5Yes","ci_u.under5Yes"
"35-39...64","mom_age_cat","infant",,,,0.04522,0.04262,0.04782,,,
"40-44...65","mom_age_cat","infant",,,,0.05054,0.0468,0.05429,,,
"45-49...66","mom_age_cat","infant",,,,0.07158,0.06355,0.07962,,,
"Married...67","marital","infant",,,,0.04452,0.04314,0.04591,,,
"Other...68","marital","infant",,,,0.04311,0.04139,0.04483,,,
"No education...69","mom_educ","infant",,,,0.05093,0.04899,0.05287,,,
"Primary...70","mom_educ","infant",,,,0.0457,0.04341,0.04799,,,
"Secondary...71","mom_educ","infant",,,,0.03936,0.03752,0.04119,,,
"High school...72","mom_educ","infant",,,,0.03691,0.03377,0.04005,,,
"College...73","mom_educ","infant",,,,0.03024,0.02628,0.0342,,,
"No...74","early_preg","infant",,,,0.04134,0.03985,0.04282,,,
"Yes...75","early_preg","infant",,,,0.04723,0.04569,0.04876,,,
"No...76","tetanus","infant",,,,0.04025,0.0379,0.0426,,,
"Yes...77","tetanus","infant",,,,0.02933,0.02822,0.03044,,,
"No...78","everbf","infant",,,,0.29429,0.2825,0.30608,,,
"Yes...79","everbf","infant",,,,0.03107,0.03011,0.03202,,,
"Poorest...80","wealth","infant",,,,0.04909,0.04698,0.0512,,,
"Poorer...81","wealth","infant",,,,0.04966,0.04716,0.05217,,,
"Middle...82","wealth","infant",,,,0.04412,0.04165,0.04658,,,
"Richer...83","wealth","infant",,,,0.041,0.03862,0.04338,,,
"Richest...84","wealth","infant",,,,0.03321,0.03079,0.03563,,,
"No...85","water","infant",,,,0.04829,0.04638,0.0502,,,
"Yes...86","water","infant",,,,0.04198,0.04068,0.04328,,,
"No...87","sanit","infant",,,,0.04775,0.04624,0.04926,,,
"Yes...88","sanit","infant",,,,0.04049,0.03898,0.042,,,
"Urban...89","placeofres","infant",,,,0.03892,0.03709,0.04074,,,
"Rural...90","placeofres","infant",,,,0.04679,0.04539,0.04818,,,
"No...91","inst_skilled","infant",,,,0.04883,0.04708,0.05057,,,
"Yes...92","inst_skilled","infant",,,,0.04161,0.0401,0.04312,,,
"No...93","anc4","infant",,,,0.03715,0.03546,0.03884,,,
"Yes...94","anc4","infant",,,,0.02791,0.02669,0.02913,,,
"Male...95","ch_sex","under5",,,,,,,0.0623,0.06053,0.06407
"Female...96","ch_sex","under5",,,,,,,0.05236,0.05056,0.05416
"1st...97","birthorder","under5",,,,,,,0.05786,0.0555,0.06023
"2ndor3rd...98","birthorder","under5",,,,,,,0.04852,0.04669,0.05034
"4thor5th...99","birthorder","under5",,,,,,,0.05633,0.05399,0.05866
"6thabove...100","birthorder","under5",,,,,,,0.07597,0.07282,0.07912
"1st...101","interval","under5",,,,,,,0.05786,0.0555,0.06023
"<24months...102","interval","under5",,,,,,,0.09559,0.09134,0.09984
"24_47months...103","interval","under5",,,,,,,0.05127,0.04958,0.05296
"48months...104","interval","under5",,,,,,,0.04326,0.04109,0.04543
"Normal...105","delivery","under5",,,,,,,0.05888,0.05733,0.06042
"C-Section...106","delivery","under5",,,,,,,0.0578,0.05276,0.06284
"15-19...107","mom_age_cat","under5",,,,,,,0.06891,0.0639,0.07391
"20-24...108","mom_age_cat","under5",,,,,,,0.05726,0.0548,0.05972
"25-29...109","mom_age_cat","under5",,,,,,,0.05222,0.04991,0.05452
"30-34...110","mom_age_cat","under5",,,,,,,0.05405,0.05156,0.05655
"35-39...111","mom_age_cat","under5",,,,,,,0.05741,0.05448,0.06035
"40-44...112","mom_age_cat","under5",,,,,,,0.06508,0.06076,0.06939
"45-49...113","mom_age_cat","under5",,,,,,,0.1002,0.09084,0.10955
"Married...114","marital","under5",,,,,,,0.0586,0.05684,0.06036
"Other...115","marital","under5",,,,,,,0.05493,0.05291,0.05694
"No education...116","mom_educ","under5",,,,,,,0.0712,0.0686,0.07379
"Primary...117","mom_educ","under5",,,,,,,0.05849,0.05589,0.06108
"Secondary...118","mom_educ","under5",,,,,,,0.04857,0.04651,0.05063
"High school...119","mom_educ","under5",,,,,,,0.04323,0.03988,0.04659
"College...120","mom_educ","under5",,,,,,,0.03348,0.02939,0.03758
"No...121","early_preg","under5",,,,,,,0.05182,0.05015,0.05348
"Yes...122","early_preg","under5",,,,,,,0.06388,0.06189,0.06586
"No...123","tetanus","under5",,,,,,,0.05021,0.0475,0.05291
"Yes...124","tetanus","under5",,,,,,,0.03601,0.03472,0.0373
"No...125","everbf","under5",,,,,,,0.30592,0.29418,0.31766
"Yes...126","everbf","under5",,,,,,,0.04479,0.04347,0.0461
"Poorest...127","wealth","under5",,,,,,,0.06721,0.06452,0.0699
"Poorer...128","wealth","under5",,,,,,,0.06684,0.06373,0.06995
"Middle...129","wealth","under5",,,,,,,0.05747,0.05469,0.06026
"Richer...130","wealth","under5",,,,,,,0.0506,0.04788,0.05332
"Richest...131","wealth","under5",,,,,,,0.03914,0.03653,0.04174
"No...132","water","under5",,,,,,,0.06367,0.06131,0.06604
"Yes...133","water","under5",,,,,,,0.05431,0.05271,0.0559
"No...134","sanit","under5",,,,,,,0.06439,0.06246,0.06632
"Yes...135","sanit","under5",,,,,,,0.05064,0.04887,0.0524
"Urban...136","placeofres","under5",,,,,,,0.04816,0.04597,0.05036
"Rural...137","placeofres","under5",,,,,,,0.0623,0.06052,0.06407
"No...138","inst_skilled","under5",,,,,,,0.06681,0.06452,0.06909
"Yes...139","inst_skilled","under5",,,,,,,0.0509,0.04919,0.05261
"No...140","anc4","under5",,,,,,,0.04581,0.04387,0.04775
"Yes...141","anc4","under5",,,,,,,0.03445,0.03304,0.03586
